dose,reduction
0.39556962,0.200864827
0.553797468,0.278510716
0.806962025,0.348953526
0.981012658,0.403136567
1.962025316,0.511616894
3.006329114,0.560541859
4.018987342,0.595020678
4.952531646,0.625875109
5.917721519,0.631464493
7.420886076,0.651591418
8.639240506,0.659031554
9.430379747,0.670004684
