dose,reduction
0.300632911,0.08351917
0.775316456,0.296601243
1.170886076,0.354434378
1.518987342,0.377962916
2.041139241,0.40513298
2.547468354,0.410639538
2.943037975,0.417931157
3.227848101,0.417982566
3.686708861,0.418065393
4.17721519,0.419958986
4.810126582,0.418268176
