time,plasma_conc
4.886363636,103.3333333
4.886363636,100.5555556
1.136363636,56.66666667
1.136363636,50
1.022727273,48.88888889
1.022727273,46.11111111
3.977272727,27.22222222
3.977272727,30
4.090909091,31.66666667
4.090909091,35
4.090909091,43.88888889
5,56.11111111
7.954545455,69.44444444
7.954545455,63.88888889
7.954545455,60.55555556
8.068181818,23.33333333
8.068181818,20
12.04545455,32.77777778
12.04545455,31.11111111
12.04545455,20
11.93181818,9.444444444
11.93181818,3.888888889
