time,plasma_conc
0.163265306,15.625
0.08,14.55357143
0.244897959,14.10714286
0.1,13.03571429
0.081632653,11.51785714
0.081632653,11.07142857
0.081632653,10.35714286
0.163265306,9.821428571
0.163265306,9.107142857
0.571428571,8.303571429
0.489795918,7.767857143
1.06122449,7.589285714
0.653061224,6.875
1.142857143,6.964285714
0.979591837,6.517857143
3.102040816,5.267857143
2.93877551,4.464285714
5.06122449,4.642857143
5.06122449,3.482142857
4.979591837,1.428571429
7.020408163,1.875
6.857142857,3.214285714
7.102040816,23.125
7.102040816,20.71428571
7.020408163,19.73214286
7.265306122,16.96428571
7.102040816,16.60714286
7.346938776,15.625
7.673469388,14.46428571
7.673469388,13.92857143
7.183673469,14.375
7.102040816,12.76785714
7.673469388,12.5
7.918367347,10.98214286
8.081632653,9.821428571
8,8.214285714
10.04081633,7.589285714
10.12244898,6.071428571
10.04081633,4.464285714
12.16326531,3.571428571
12.08163265,3.214285714
12.16326531,2.857142857
14.12244898,0.892857143
14.04081633,1.339285714
14.28571429,7.857142857
14.7755102,8.660714286
15.02040816,10.89285714
14.53061224,10.89285714
14.36734694,12.41071429
14.04081633,12.32142857
15.02040816,12.85714286
15.02040816,14.10714286
14.04081633,14.46428571
14.12244898,18.92857143
14.20408163,19.73214286
14.12244898,21.51785714
17.14285714,7.589285714
16.97959184,4.553571429
18.93877551,5.357142857
19.10204082,5.714285714
19.18367347,2.767857143
21.06122449,3.214285714
21.06122449,1.25
21.06122449,0.803571429
