time,plasma_conc
0.02,1.23684755
0.02,1.153870027
0.02,1.008736951
0.081632653,0.953380984
0.081632653,0.898081445
0.081632653,0.835869463
0.163265306,0.773629267
0.897959184,0.718075802
0.571428571,0.662889119
0.979591837,0.607448509
0.653061224,0.586824038
1.06122449,0.482996332
0.653061224,0.462400075
1.06122449,0.413871908
0.979591837,0.393162795
0.979591837,0.358600583
0.979591837,0.310213486
2.93877551,0.337186119
4,0.253870027
4,0.219307815
4,0.191658046
5.06122449,0.502351171
5.06122449,0.771936424
5.06122449,0.785761309
5.06122449,0.868710618
7.020408163,1.275867582
6.857142857,1.262099125
6.857142857,1.206799586
7.102040816,1.185977617
7.102040816,1.089203423
7.102040816,1.075378539
7.265306122,0.971635474
7.265306122,0.881773723
7.265306122,0.78499953
8.081632653,0.722505408
7.591836735,0.695024922
7.591836735,0.618988056
7.591836735,0.577513402
8,0.439123483
8,0.404561272
7.918367347,0.211041098
7.918367347,0.169566444
7.918367347,0.12809179
7.918367347,0.086617135
14.12244898,1.833320794
14.36734694,1.314802972
14.12244898,1.128251669
14.12244898,1.1006019
14.04081633,1.03150569
14.20408163,1.038361704
13.87755102,0.948612809
14.36734694,0.93461864
14.6122449,0.893059344
14.6122449,0.76863538
14.20408163,0.720389354
14.6122449,0.678773629
15.02040816,0.62333302
14.93877551,0.519674598
