time,plasma_conc
0.17775399,137.6246532
0.08,127.500986
0.08,118.2928504
0.181345691,114.1439075
0.184373988,94.34641605
0.223389721,89.28106117
0.300787357,83.29401242
0.263391411,77.77001141
0.684676817,73.6166669
1.030959055,59.7965407
1.03166331,55.19247292
0.687986816,51.97754835
3.05857994,54.22500246
3.098863332,40.87232559
5.085074017,56.01997267
5.086059974,49.57427779
7.039734073,27.42985619
7.001140893,29.7327704
7.145794893,84.0572489
7.144668085,91.42375734
7.293336338,119.5050495
7.21438934,135.6210474
7.212910405,145.2895897
7.134949364,154.9598927
7.01515557,188.1118216
7.0157894,183.9681606
8.100060566,95.54541037
7.794977253,90.02757159
7.680887925,85.88655154
7.987731876,79.89422088
8.027311013,71.14561179
10.05443892,68.796921
10.01753595,60.05007254
10.01824021,55.44600476
12.04811471,35.14144964
12.04867811,31.45819542
12.01128217,25.9341944
13.96136456,27.27051847
14.03615646,38.3185205
14.0357339,41.08096117
14.28666,150.651612
14.09334197,164.468217
13.82283758,182.8906503
14.01009902,208.6690283
13.96425201,258.3938406
14.15806302,241.3543882
15.16402101,164.9039748
14.82287984,145.1144062
14.94077215,124.3934603
14.79069538,105.5203037
15.0993704,87.55739679
17.13093511,56.203079
17.05557981,48.8383312
16.98142175,33.64666817
18.92932096,49.25560235
18.96981563,34.52170514
18.97150584,23.47194248
20.92186994,22.96663944
20.99504204,44.60399735
20.99377438,52.89131935
14.20700875,171.3716777
