time,plasma_conc
0.983606557,14.28571429
0.983606557,13.54037267
1.092896175,13.04347826
1.092896175,12.67080745
4.262295082,8.074534161
4.153005464,7.701863354
4.153005464,6.211180124
4.153005464,5.714285714
5.136612022,13.04347826
5.136612022,15.77639752
5.027322404,21.11801242
5.136612022,21.86335404
5.027322404,23.35403727
7.978142077,19.50310559
7.978142077,17.88819876
8.087431694,14.53416149
7.978142077,8.322981366
8.087431694,7.453416149
12.13114754,4.347826087
12.13114754,1.49068323
12.13114754,0.248447205
