time,plasma_conc
1.081081081,3.689839572
1.189189189,3.465240642
1.081081081,3.080213904
1.081081081,2.887700535
1.189189189,1.604278075
5.189189189,6.22459893
5.081081081,5.582887701
5.081081081,5.422459893
5.189189189,4.973262032
5.081081081,4.556149733
4.216216216,2.855614973
4.216216216,1.796791444
4.324324324,1.090909091
4.216216216,0.898395722
4.216216216,0.770053476
8,4.49197861
8.216216216,3.112299465
8.108108108,2.631016043
8.108108108,1.92513369
8.108108108,1.764705882
12.10810811,1.219251337
12.10810811,0.385026738
12,0.256684492
