"time" "CP" "TV"
1 108.582660980132 170.800281129156
3 88.6708509795831 171.887994281857
6 76.630027154431 168.976858032404
16 67.7147248577334 144.171809957809
24 64.1865003285186 123.075814415661
72 46.6147327183716 41.1947559598109
120 33.6248720359059 20.6779354108946
168 24.1351452440889 22.5096267614947
168 151.595462704406 22.5096267614947
169 133.393136288531 22.5815027007007
171 112.863205715964 22.7199802347163
174 100.188929401834 22.9173166766068
184 89.6071045260057 23.5083928775459
192 84.8610970833309 23.9211291804508
240 61.4565877463577 25.9554810105173
288 44.4139837480127 28.4868336308677
336 32.0024555984022 32.2045550785318
336 159.46277305872 32.2045550785318
337 141.158617323343 32.2941186992781
339 120.547140631269 32.4572080834419
342 107.73275845955 32.6668071994852
352 96.6790446634607 33.1105161619091
360 91.5760611529842 33.2254930335253
408 66.3758202870009 32.3011385202098
456 48.0109549399147 32.6643368806826
